Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Percentual;Abstenção;Inscritos_totais;abstenção_totais;Sondagem;Cor
Histórico;Coimbra;370800,0;225328,0;8155,0;3755,0;JPP;1653,0;0,0;0,0073;0,3602;10850615;0,44;0,0;#009285
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;PS;5850,0;1,0;0,31629999999999997;0,8793000000000001;10850615;0,44;0,0;#F1515E
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;AD;4315,0;1,0;0,23329999999999998;0,8793000000000001;10850615;0,44;0,0;#FF890C
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;CH;3740,0;0,0;0,2022;0,8793000000000001;10850615;0,44;0,0;#202056
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;PAN;1107,0;0,0;0,059800000000000006;0,8793000000000001;10850615;0,44;0,0;#01796F
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;BE;1104,0;0,0;0,059699999999999996;0,8793000000000001;10850615;0,44;0,0;#AB1983
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;Outros;932,0;0,0;0,0504;0,8793000000000001;10850615;0,44;0,0;#ebedf0
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;CDU;757,0;0,0;0,0409;0,8793000000000001;10850615;0,44;0,0;#950B0B
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;L;360,0;0,0;0,0194;0,8793000000000001;10850615;0,44;0,0;#00AB39
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;IL;294,0;0,0;0,0159;0,8793000000000001;10850615;0,44;0,0;#00AEEF
Histórico;Europa;947984,0;18496,0;1665,0;94261,0;JPP;38,0;0,0;0,0021;0,8793000000000001;10850615;0,44;0,0;#009285
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;PS;27663,0;1,0;0,3221;0,33039999999999997;10850615;0,44;0,0;#F1515E
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;AD;16463,0;1,0;0,1917;0,33039999999999997;10850615;0,44;0,0;#FF890C
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;CDU;15990,0;1,0;0,1862;0,33039999999999997;10850615;0,44;0,0;#950B0B
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;CH;13433,0;0,0;0,1564;0,33039999999999997;10850615;0,44;0,0;#202056
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;BE;5457,0;0,0;0,0635;0,33039999999999997;10850615;0,44;0,0;#AB1983
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;Outros;2271,0;0,0;0,0264;0,33039999999999997;10850615;0,44;0,0;#ebedf0
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;IL;1558,0;0,0;0,0181;0,33039999999999997;10850615;0,44;0,0;#00AEEF
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;PAN;1550,0;0,0;0,0181;0,33039999999999997;10850615;0,44;0,0;#01796F
Histórico;Évora;132631,0;85874,0;1866,0;1070,0;L;1488,0;0,0;0,0173;0,33039999999999997;10850615;0,44;0,0;#00AB39
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;PS;46848,0;3,0;0,2686;0,5222;10850615;0,44;0,0;#F1515E
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;AD;37105,0;2,0;0,21280000000000002;0,5222;10850615;0,44;0,0;#FF890C
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;CH;34524,0;2,0;0,198;0,5222;10850615;0,44;0,0;#202056
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;BE;14889,0;1,0;0,08539999999999999;0,5222;10850615;0,44;0,0;#AB1983
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;CDU;13090,0;1,0;0,0751;0,5222;10850615;0,44;0,0;#950B0B
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;Outros;7911,0;0,0;0,0454;0,5222;10850615;0,44;0,0;#ebedf0
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;PAN;7461,0;0,0;0,042800000000000005;0,5222;10850615;0,44;0,0;#01796F
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;IL;7145,0;0,0;0,040999999999999995;0,5222;10850615;0,44;0,0;#00AEEF
Histórico;Faro;383980,0;174402,0;6026,0;3038,0;L;4613,0;0,0;0,0265;0,5222;10850615;0,44;0,0;#00AB39
